Year,temp,precip,cornPrice,soyPrice,wheatPrice,cornCost,soyCost,wheatCost
2016,10.18,895.72,3.60,12.51,6.273,566.95,334.35,390.4
2017,10.21,898.88,3.62,12.02,5.140,576.82,339.89,397.27
2018,10.22,904.10,3.70,11.67,6.172,586.86,345.52,404.27
2019,10.22,909.32,3.81,10.95,6.67,597.08,351.24,411.38
2020,10.19,916.67,4.50,12.44,6.58,607.47,357.06,418.62
2021,10.22,919.78,5.58,13.31,9.37,618.05,362.97,425.99
2022,10.22,925.00,5.34,12.70,10.33,628.81,368.98,433.49
2023,10.23,930.22,4.87,13.48,9.75,639.75,375.10,441.12
2024,10.19,937.63,4.38,13.71,7.52,650.89,381.31,448.89
2025,10.23,940.68,4.02,12.62,7.79,662.22,387.62,456.79
2026,10.23,945.90,4.01,14.78,8.78,673.75,394.05,464.83
2027,10.23,951.12,3.79,13.64,8.56,685.48,400.57,473.02
2028,10.20,958.58,4.21,14.15,8.28,697.41,407.21,481.34
2029,10.24,961.57,4.11,12.81,9.01,709.56,413.95,489.82
2030,10.24,966.79,4.83,14.47,11.82,721.91,420.81,498.44
2031,10.24,972.01,5.90,15.42,14.80,734.48,427.78,507.21
2032,10.21,979.54,5.67,14.79,12.60,747.26,434.86,516.14
2033,10.25,982.47,5.19,15.58,12.69,760.27,442.07,525.23
2034,10.25,987.69,4.70,15.78,12.70,773.51,449.39,534.47
2035,10.25,992.91,4.35,14.65,12.02,786.97,456.83,543.88
2036,10.22,1000.50,4.33,16.96,10.73,800.67,464.40,553.46
2037,10.25,1003.37,4.11,15.74,11.11,814.61,472.09,563.20
2038,10.26,1008.59,4.53,16.28,13.39,828.79,479.91,573.12
2039,10.26,1013.81,4.44,14.83,13.40,843.22,487.86,583.20
2040,10.23,1021.45,5.16,16.65,14.12,857.90,495.94,593.47
2041,10.26,1024.27,6.21,17.67,18.37,872.84,504.15,603.92
2042,10.27,1029.49,5.99,17.02,19.26,888.03,512.50,614.55
2043,10.27,1034.71,5.50,17.83,18.03,903.49,520.99,625.37
2044,10.23,1042.41,5.02,17.98,15.00,919.22,529.62,636.38
2045,10.27,1045.17,4.67,16.84,14.99,935.22,538.40,647.58
2046,10.27,1050.39,4.65,19.30,16.14,951.50,547.31,658.98
2047,10.28,1055.61,4.43,17.99,15.66,968.07,556.38,670.58
2048,10.24,1063.36,4.85,18.54,15.72,984.92,565.59,682.39
2049,10.28,1066.06,4.76,17.01,16.51,1002.07,574.96,694.40